system:index,GEOID,Year,sq_miles,.geo
00000000000000000080,270531093001,2021,"{groups=[{classification=0, sum=0.044131229999999924}, {classification=1, sum=0.020501909999999995}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,270530245001,2021,"{groups=[{classification=0, sum=0.190424520000002}, {classification=1, sum=0.19355193000000206}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,270530205003,2021,"{groups=[{classification=0, sum=0.17409249000000174}, {classification=1, sum=0.10042461000000051}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,270530268074,2021,"{groups=[{classification=0, sum=0.10250955000000055}, {classification=1, sum=0.0938223000000004}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,270531102003,2021,"{groups=[{classification=0, sum=0.05803082999999988}, {classification=1, sum=0.03544397999999995}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,270531225003,2021,"{groups=[{classification=0, sum=0.08409258000000024}, {classification=1, sum=0.06915050999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,270531004001,2021,"{groups=[{classification=0, sum=0.18868707000000198}, {classification=1, sum=0.03822389999999994}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,270530096002,2021,"{groups=[{classification=0, sum=0.06289568999999988}, {classification=1, sum=0.02154437999999999}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,270531028003,2021,"{groups=[{classification=0, sum=0.056640869999999885}, {classification=1, sum=0.03648644999999995}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,270530223022,2021,"{groups=[{classification=0, sum=0.07679529000000011}, {classification=1, sum=0.04899608999999991}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,270531069001,2021,"{groups=[{classification=0, sum=0.07054047000000001}, {classification=1, sum=0.01876446}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,270530120034,2021,"{groups=[{classification=0, sum=0.03266405999999996}, {classification=1, sum=0.004864859999999999}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,270530256031,2021,"{groups=[{classification=0, sum=0.20640906000000228}, {classification=1, sum=0.12613887000000093}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,270530274001,2021,"{groups=[{classification=0, sum=0.22934340000000267}, {classification=1, sum=0.5702310900000084}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,270530209032,2021,"{groups=[{classification=0, sum=0.09208485000000037}, {classification=1, sum=0.05420843999999989}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,270530215034,2021,"{groups=[{classification=0, sum=0.11258676000000072}, {classification=1, sum=0.029884139999999965}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,270530249031,2021,"{groups=[{classification=0, sum=0.10216206000000054}, {classification=1, sum=0.04239377999999993}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,270531089002,2021,"{groups=[{classification=0, sum=0.05559839999999989}, {classification=1, sum=0.03683393999999995}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,270531258002,2021,"{groups=[{classification=0, sum=0.05907329999999988}, {classification=1, sum=0.03162158999999996}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,270531258003,2021,"{groups=[{classification=0, sum=0.07054047000000001}, {classification=1, sum=0.021196889999999993}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,270530254011,2021,"{groups=[{classification=0, sum=0.252277740000003}, {classification=1, sum=0.12127401000000086}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,270530268183,2021,"{groups=[{classification=0, sum=0.2971039500000038}, {classification=1, sum=0.0816601500000002}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,270530208042,2021,"{groups=[{classification=0, sum=0.12752883000000095}, {classification=1, sum=0.0875674800000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,270530260051,2021,"{groups=[{classification=0, sum=0.11432421000000074}, {classification=1, sum=0.21196890000000237}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
